NAME OF FACILITY,STAR RATING,TYPE OF FACILITY,OWNERSHIP,REG,YEAR,COU,SOURCE TAB,SN
ARAFA MWANANCHI,2,DISPENSARIES,FBO,,,,DAR ES SALAAM (KNONDONI),14
ARAFA UBUNGO,1,DISPENSARIES,FBO,,,,DAR ES SALAAM (KNONDONI),15
ARAFA UZURI,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),113
ARAFA VIGAE,1,DISPENSARIES,FBO,,,,DAR ES SALAAM (KNONDONI),63
ARAFAT BASNA,1,DISPENSARIES,FBO,,,,DAR ES SALAAM (KNONDONI),106
ARDHI UNIVERSITY,1,DISPENSARIES,PARASTATAL,,,,DAR ES SALAAM (KNONDONI),137
AZANIA,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),36
BAGAMOYO DC HOSPITAL,1,,,,,,PWANI,2
BALENI,1,,,,,,PWANI,
BANGWE,0,DISPENSARIES,PUBLIC,4 KIG,2015,7 KIG MC,KIGOMA,
BANJA,0,,,,,,PWANI,
BAOBAB,1,,,,,,PWANI,
BARAKA MBEZI,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),96
BASANZA DISPENSARY,0,DISPENSARIES,UNKNOWN,4 KIG,2015,8 UVI DC,KIGOMA,
BEMBEZA,0,,,,,,PWANI,
BEN MICO,2,DISPENSARIES,FBO,,,,DAR ES SALAAM (KNONDONI),16
BHOKE,0,,,,,,PWANI,
BIGABIRO DISPENSARY,1,DISPENSARIES,PRIVATE,4 KIG,2015,6 KIG DC,KIGOMA,
BIHARU,1,HEALTH CENTRES,PRIVATE,4 KIG,2015,1 BUH DC,KIGOMA,
BINGA DISPENSARY,1,,,,,,PWANI,
BITALE,1,HEALTH CENTRES,UNKNOWN,4 KIG,2015,6 KIG DC,KIGOMA,
BITARE DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
BITURANA,1,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
BJ SISO MMARI,2,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),17
BOCHI,3,HOSPITALS,PRIVATE,,,,DAR ES SALAAM (KNONDONI),4
BOKO,3,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),130
BOKO MAGEREZA,0,DISPENSARIES,PRISON,,,,DAR ES SALAAM (KNONDONI),144
BOKO MNEMELA,1,,,,,,PWANI,
BONDE LA MPUNGA,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),81
BOZA DISPENSARY,0,,,,,,PWANI,
BUBANGO DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
BUGAGA DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
BUGAMBA DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
BUHANDA,0,DISPENSARIES,PUBLIC,4 KIG,2015,7 KIG MC,KIGOMA,
BUHIGWE,1,DISPENSARIES,PRIVATE,4 KIG,2015,1 BUH DC,KIGOMA,
BUHORO DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
BUKIRILO,1,DISPENSARIES,PUBLIC,4 KIG,2015,2 KAK DC,KIGOMA,
BULOMBORA,1,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
BUNGU,1,,,,,,PWANI,
BUNJU,1,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),64
BUNYAMBO DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
BUPU DISPENSARY,0,,,,,,PWANI,
BUSINDE,0,DISPENSARIES,PUBLIC,4 KIG,2015,7 KIG MC,KIGOMA,
BUSUNZU,1,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
BWARA DISPENSARY,0,,,,,,PWANI,
BWAWANI DISPENSARY,0,,,,,,PWANI,
BWENI DISPENSARY,0,,,,,,PWANI,
CHACHA WAMBURA,0,,,,,,PWANI,
CHAGU,0,DISPENSARIES,PUBLIC,4 KIG,2015,8 UVI DC,KIGOMA,
CHAKULU,0,DISPENSARIES,PUBLIC,4 KIG,2015,8 UVI DC,KIGOMA,
CHALINZE,1,,,,,,PWANI,5
CHALINZE AS,0,,,,,,PWANI,
CHALINZE RC D,0,,,,,,PWANI,
CHAMBEZI DISPENSARY,1,,,,,,PWANI,
CHANKABWIMBA DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
CHANKERE,1,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
CHEMCHEM,0,,,,,,PWANI,
CHUMBI DISPENSARY,0,,,,,,PWANI,
CHUNGURUMA,0,,,,,,PWANI,
CIGNAT,2,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),124
DARE TRUST,0,,,,,,PWANI,
DISUNYARA,1,,,,,,PWANI,
DR. HIZA,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),46
DR. MHINA,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),134
DR.IBRA DISP,0,,,,,,PWANI,
DUTUMI,0,,,,,,PWANI,
EDWARD MICHAUDI,2,HEALTH CENTRES,FBO,,,,DAR ES SALAAM (KNONDONI),5
EKENYWA,1,HOSPITALS,PRIVATE,,,,DAR ES SALAAM (KNONDONI),15
EPIPHANY DISPENSARY,0,,,,,,PWANI,
EUREKA,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),41
EURO,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),77
FAMILY CARE,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),160
FARAJA,0,DISPENSARIES,PRIVATE,4 KIG,2015,1 BUH DC,KIGOMA,
FARAJA,2,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),66
FARAJA MPAKANI,1,,,,,,PWANI,
FATHER TRIEST,1,DISPENSARIES,FBO,,,,DAR ES SALAAM (KNONDONI),105
FILBERT BAYI,1,,,,,,PWANI,
FM CQPU,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),80
FUKAYOSI DISPENSARY,0,,,,,,PWANI,
FURAHA,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),161
FURAHA DISPENSARY,1,DISPENSARIES,PRIVATE,4 KIG,2015,6 KIG DC,KIGOMA,
GALAGAZA DISPENSARY,0,,,,,,PWANI,
GATI DISPENSARY,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),9
GOBA,1,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),93
GOMBE DISPENSARY,2,DISPENSARIES,PRIVATE,4 KIG,2015,6 KIG DC,KIGOMA,
GONGO DISPENSARY,1,,,,,,PWANI,
GOVERNMENT,0,,,,,,PWANI,
GREEN A DISPENSARY,0,,,,,,PWANI,
GUMBA,1,,,,,,PWANI,
GUNGU,1,HEALTH CENTRES,PUBLIC,4 KIG,2015,7 KIG MC,KIGOMA,
GWANUMPU,0,HEALTH CENTRES,PUBLIC,4 KIG,2015,2 KAK DC,KIGOMA,
GWARAMA DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,2 KAK DC,KIGOMA,
GWATA,1,,,,,,PWANI,
GWATA,0,,,,,,PWANI,
HANANASIF,1,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),151
HANGA,0,,,,,,PWANI,
HERI HOSPITAL,2,HOSPITALS,PRIVATE,4 KIG,2015,1 BUH DC,KIGOMA,
HERU JUU,1,DISPENSARIES,PUBLIC,4 KIG,2015,4 KAS TC,KIGOMA,
HERU USHINGO DISPENSARY,0,DISPENSARIES,PRIVATE,4 KIG,2015,3 KAS DC,KIGOMA,
HOMBOZA,1,,,,,,PWANI,
HONDOGO,2,,,,,,PWANI,
HONEST,0,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),48
HURUMA KIMARA,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),18
HURUMA MODERN DISPENSARY,1,DISPENSARIES,PRIVATE,4 KIG,2015,4 KAS TC,KIGOMA,
ICS ST. ESTHER,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),19
IGALULA DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,8 UVI DC,KIGOMA,
IKWIRIRI,0,,,,,,PWANI,19
IKWIRIRI MISSION,1,,,,,,PWANI,
ILAGALA HEALTH CENTRE,0,HEALTH CENTRES,UNKNOWN,4 KIG,2015,8 UVI DC,KIGOMA,
ILALANGULU DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,8 UVI DC,KIGOMA,
IMMAM MAHDI,0,,,,,,PWANI,
IMTU,1,HOSPITALS,PRIVATE,,,,DAR ES SALAAM (KNONDONI),16
IRENE KILIMAHEWA,2,,,,,,PWANI,3
ISTIQAMA,0,HEALTH CENTRES,FBO,,,,DAR ES SALAAM (KNONDONI),7
ITABA,1,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
JABAL HILA,0,,,,,,PWANI,
JAJA,0,,,,,,PWANI,
JANDA,1,HEALTH CENTRES,PUBLIC,4 KIG,2015,1 BUH DC,KIGOMA,
JARIBU MPAKANI,1,,,,,,PWANI,
JIBONDO DISPENSARY,0,,,,,,PWANI,
JIMBO DISPENSARY,0,,,,,,PWANI,
JOJO DISPENSARY,0,,,,,,PWANI,
JS BABHRA,1,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),147
JUANI DISPENSARY,0,,,,,,PWANI,
K&B MIVUMONI,0,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),141
KABANGA HOSP,1,HOSPITALS,PUBLIC,4 KIG,2015,4 KAS TC,KIGOMA,
KABARE DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,2 KAK DC,KIGOMA,
KABINGO DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,2 KAK DC,KIGOMA,
KAGERA NKANDA DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
KAGEZI,1,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
KAGONGO DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
KAGUNGA DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
KAGURUKA DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
KAHABAKO,1,DISPENSARIES,PUBLIC,4 KIG,2015,4 KAS TC,KIGOMA,
KAJA,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),153
KAJANA,0,DISPENSARIES,PUBLIC,4 KIG,2015,1 BUH DC,KIGOMA,
KAKONKO,1,HEALTH CENTRES,PUBLIC,4 KIG,2015,2 KAK DC,KIGOMA,
KAKONKO DISPENSARY,2,DISPENSARIES,PRIVATE,4 KIG,2015,2 KAK DC,KIGOMA,
KALALANGABO DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
KALELA DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
KALENGE DISPENSARY,0,DISPENSARIES,UNKNOWN,4 KIG,2015,8 UVI DC,KIGOMA,
KALINZI DISPENSARY,0,DISPENSARIES,PRIVATE,4 KIG,2015,6 KIG DC,KIGOMA,
KALYA DISPENSARY,0,DISPENSARIES,UNKNOWN,4 KIG,2015,8 UVI DC,KIGOMA,
KAM,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),78
KAMARA DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
KAMBANGWA,1,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),150
KANAZI DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,4 KAS TC,KIGOMA,
KANDAGA,0,DISPENSARIES,PUBLIC,4 KIG,2015,8 UVI DC,KIGOMA,
KANEMBWA,0,DISPENSARIES,PUBLIC,4 KIG,2015,2 KAK DC,KIGOMA,
KANGA DISPENSARY,0,,,,,,PWANI,
KANYONZA,0,DISPENSARIES,PUBLIC,4 KIG,2015,2 KAK DC,KIGOMA,
KAOLE DISPENSARY,1,,,,,,PWANI,
KAPARAMSENGA,0,DISPENSARIES,PUBLIC,4 KIG,2015,8 UVI DC,KIGOMA,
KARAGO DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,8 UVI DC,KIGOMA,
KASAKA,2,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
KASAKA,0,HEALTH CENTRES,UNKNOWN,4 KIG,2015,6 KIG DC,KIGOMA,
KASANDA DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,2 KAK DC,KIGOMA,
KASANGEZI DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
KASEKE DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
KASHUGURU DISPENSARY,0,DISPENSARIES,UNKNOWN,4 KIG,2015,8 UVI DC,KIGOMA,
KASONGATI,0,DISPENSARIES,PUBLIC,4 KIG,2015,2 KAK DC,KIGOMA,
KASUGA DISP,0,DISPENSARIES,PUBLIC,4 KIG,2015,2 KAK DC,KIGOMA,
KASUKU DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
KASULU HOSP,1,HOSPITALS,PUBLIC,4 KIG,2015,4 KAS TC,KIGOMA,
KASULWA,1,DISPENSARIES,PRIVATE,4 KIG,2015,7 KIG MC,KIGOMA,
KASUMO,1,DISPENSARIES,PRIVATE,4 KIG,2015,1 BUH DC,KIGOMA,
KATANGA,0,DISPENSARIES,PUBLIC,4 KIG,2015,2 KAK DC,KIGOMA,
KATUMBI DISPENSARY,0,DISPENSARIES,UNKNOWN,4 KIG,2015,8 UVI DC,KIGOMA,
KATUNDU,0,DISPENSARIES,PUBLIC,4 KIG,2015,1 BUH DC,KIGOMA,
KAWE,3,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),135
KAZI MZUMBWI,0,,,,,,PWANI,
KAZI MZUMBWI,0,,,,,,PWANI,
KAZILAMIHUNDA,0,DISPENSARIES,PUBLIC,4 KIG,2015,2 KAK DC,KIGOMA,
KAZURAMIMBA,0,DISPENSARIES,PUBLIC,4 KIG,2015,8 UVI DC,KIGOMA,
KDC,0,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
KELEI,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),109
KELLEN,0,,,,,,PWANI,
KEREGE,0,,,,,,PWANI,
KETO,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),136
KEZA,1,DISPENSARIES,PRIVATE,4 KIG,2015,2 KAK DC,KIGOMA,
KG AFYA CARE,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),20
KH,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),11
KIBAMBA,2,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),92
KIBANGU MISSION,1,HOSPITALS,FBO,,,,DAR ES SALAAM (KNONDONI),2
KIBASILA,0,,,,,,PWANI,
KIBINDU DISPENSARY,0,,,,,,PWANI,
KIBINGO,0,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
KIBITI,0,,,,,,PWANI,15
KIBONDENI,0,,,,,,PWANI,
KIBONDO,2,HOSPITALS,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
KIBUYE,0,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
KIBUYUNI DISPENSARY,1,,,,,,PWANI,
KIBWEGERE,2,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),24
KIBWINGWA,0,DISPENSARIES,PUBLIC,4 KIG,2015,1 BUH DC,KIGOMA,
KICHANANGA,2,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
KIDAHWE DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
KIDOGOZERO,0,,,,,,PWANI,
KIDOMOLE,0,,,,,,PWANI,
KIDUDUYE,0,DISPENSARIES,PUBLIC,4 KIG,2015,2 KAK DC,KIGOMA,
KIDUGALO,0,,,,,,PWANI,
KIDYAMA DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,4 KAS TC,KIGOMA,
KIECHURU,0,,,,,,PWANI,
KIFULETA,1,,,,,,PWANI,
KIFURA,1,HEALTH CENTRES,UNKNOWN,4 KIG,2015,5 KIB DC,KIGOMA,
KIGA,0,DISPENSARIES,PUBLIC,4 KIG,2015,2 KAK DC,KIGOMA,
KIGADYE DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
KIGAGA,1,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
KIGALYE DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
KIGANAMO HC,1,HEALTH CENTRES,PUBLIC,4 KIG,2015,4 KAS TC,KIGOMA,
KIGANZA MISSION,1,DISPENSARIES,PRIVATE,4 KIG,2015,6 KIG DC,KIGOMA,
KIGANZA GOV DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
KIGEMBE DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
KIGENDEKA,1,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
KIGINA,0,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
KIGOGO,1,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
KIGOGO,1,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),122
KIGOGO MORAVIAN,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),45
KIGOGWE,0,DISPENSARIES,PUBLIC,4 KIG,2015,1 BUH DC,KIGOMA,
KIGOMA BAPTIST,1,HOSPITALS,PRIVATE,4 KIG,2015,7 KIG MC,KIGOMA,
KIGOMA INTERNATIONAL,0,HEALTH CENTRES,PRIVATE,4 KIG,2015,7 KIG MC,KIGOMA,
KIGONDO HOSPITAL,1,DISPENSARIES,PUBLIC,4 KIG,2015,4 KAS TC,KIGOMA,
KIGONGONI DISPENSARY,1,,,,,,PWANI,
KIHARE DISPENSARY,1,,,,,,PWANI,
KIJITONYAMA,1,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),148
KIKONGO,1,,,,,,PWANI,
KILELEMA,1,DISPENSARIES,PUBLIC,4 KIG,2015,1 BUH DC,KIGOMA,
KILIMANI,1,,,,,,PWANI,
KILULATAMBWE,0,,,,,,PWANI,
KILUVYA,2,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),100
KILUVYA DISPENSARY,0,,,,,,PWANI,
KILUVYA JW,1,,,,,,PWANI,
KIMANGE,1,,,,,,PWANI,
KIMANZICHANA,0,,,,,,PWANI,
KIMARA CENTRAL,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),21
KIMARA DISPENSARY,3,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),2
KIMWANYA HEALTH CENTRE,0,HEALTH CENTRES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
KINAE,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),94
KINAZI DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,1 BUH DC,KIGOMA,
KINDWITWI,1,,,,,,PWANI,
KINGUPILA DISPENSARY,1,,,,,,PWANI,
KINONDONI,1,HOSPITALS,PRIVATE,,,,DAR ES SALAAM (KNONDONI),3
KINONDONI B,2,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),154
KINONKO DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,2 KAK DC,KIGOMA,
KIOMBONI DISPENSARY,0,,,,,,PWANI,
KIPASIKA,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),89
KIPO,0,,,,,,PWANI,
KIPUGILA,0,,,,,,PWANI,
KIRANDO DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,8 UVI DC,KIGOMA,
KIROMO,1,,,,,,PWANI,
KIRONGWE DISPENSARY,1,,,,,,PWANI,
KIRUNGU DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,1 BUH DC,KIGOMA,
KISANGA,1,,,,,,PWANI,
KISARAWE DC HOSPITAL,0,,,,,,PWANI,5
KISEMVULE DISPENSARY,1,,,,,,PWANI,
KISIWANI,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),155
KISOPWA,2,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),97
KITAGATA DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
KITAHANA,1,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
KITAMBUKA,0,DISPENSARIES,PUBLIC,4 KIG,2015,1 BUH DC,KIGOMA,
KITANGA DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
KITEA,2,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),22
KITEMA DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
KITOMONDO,0,,,,,,PWANI,
KITOMONDO,1,,,,,,PWANI,
KIVINJA A DISPENSARY,0,,,,,,PWANI,
KIVINJA B,0,,,,,,PWANI,
KIWAMBO DISPENSARY,1,,,,,,PWANI,
KIWANGA,0,,,,,,PWANI,
KIWANGWA,1,,,,,,PWANI,
KIZENGA DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
KIZIBA DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
KIZIKO DISPENSARY,0,,,,,,PWANI,
KODEPA,0,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),143
KODEPA CHARITABLE TANDALE,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),40
KOMBE,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),23
KONGO,2,,,,,,PWANI,
KONGOWE,2,,,,,,PWANI,
KONGOWE FOREST,1,,,,,,PWANI,
KUMBANGA,1,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
KUMHAMA,1,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
KUMHASHA DISPENSARY,2,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
KUMKUGWA,1,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
KUMSENGA,1,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
KUNDUCHI,3,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),71
KUNDUCHI BEACH HEALTH SERVICE LTD,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),99
KUNGWI DISPENSARY,0,,,,,,PWANI,
KURUI,1,,,,,,PWANI,
KUTANI DISPENSARY,0,,,,,,PWANI,
KWAGA DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
KWALA,1,,,,,,PWANI,
KWAMDUMA DISP,1,,,,,,PWANI,
KWAMSANJA,1,,,,,,PWANI,
KWANG'ANDU,1,,,,,,PWANI,
KWEIKONJE,1,,,,,,PWANI,
KWEMBE,1,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),108
KWEMBE KATI,1,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),101
KWEZI,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),125
LALAMBE DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
LIFE SIGN,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),90
LONDON,1,HEALTH CENTRES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),9
LOWERRUVU,1,,,,,,PWANI,
LUGOBA,0,,,,,,PWANI,14
LUGOBA MISSION,1,,,,,,PWANI,
LUGOBA SECONDARY,0,,,,,,PWANI,
LUGURUNI H/C,1,HEALTH CENTRES,FBO,,,,DAR ES SALAAM (KNONDONI),3
LUKANGA DISPENSARY,0,,,,,,PWANI,
LUKENGE,0,,,,,,PWANI,
LUPONDO DISPENSARY,0,,,,,,PWANI,
LUPUNGA,1,,,,,,PWANI,
LYABUSENDE DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,8 UVI DC,KIGOMA,
